Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
SUDARSCHEM.NS,982.45,97.97,927.68,726.4,834.8,862.3,35.25,17.69,13.93,False,False,False,87.6|96.1|124.0|116.1|118.5|134.9|114.2|39.9|-13.8|-37.1|-23.5|-70.2|-118.1|-104.7|-105.8|116.7|209.7|191.8|178.3|98.0
BORORENEW.NS,506.5,-52.67,523.45,374.4,487.9,503.85,35.28,3.81,0.53,False,True,True,50.3|46.8|75.5|76.1|139.5|205.4|206.1|145.1|118.5|99.2|23.8|-66.9|-98.7|-14.6|-51.7|-32.3|-49.5|-36.7|-40.7|-52.7
ZEEL.NS,92.0,19.36,88.36,68.0,81.82,81.87,35.29,12.44,12.37,False,False,False,76.1|71.1|78.7|78.5|104.5|124.5|114.1|50.4|-37.0|-34.3|7.2|-46.4|-177.0|-107.6|-197.4|-157.0|-152.7|-119.8|-104.9|19.4
INDIACEM.NS,402.0,64.72,400.25,297.05,385.0,398.35,35.33,4.42,0.92,False,True,True,2.3|-8.1|-30.0|-29.4|-23.8|21.2|11.8|-37.2|-100.7|-85.8|-75.5|-60.3|-39.8|-3.8|-28.1|-10.3|0.9|34.8|63.1|64.7
ASAHIINDIA.NS,929.5,315.5,841.59,686.67,793.95,832.15,35.36,17.07,11.7,False,False,False,-12.0|-49.6|-45.4|-38.8|-75.6|-14.7|-71.3|-149.7|-236.4|-225.7|-159.5|-136.7|-173.3|-54.0|-39.5|66.6|112.5|94.9|195.2|315.5
RAMCOSYS.NS,463.4,150.62,412.81,342.1,371.05,389.15,35.46,24.89,19.08,False,False,False,-22.3|-35.3|-86.1|-137.8|-120.4|-66.7|-60.8|-116.8|-186.4|-198.1|-167.3|-155.3|-140.2|-64.6|-60.8|-53.1|224.1|326.3|222.3|150.6
UNIONBANK.NS,169.04,113.62,164.01,124.64,156.21,159.43,35.62,8.21,6.03,False,False,False,-126.9|-114.3|-115.1|-118.6|-82.5|-74.0|-78.0|-80.6|-82.4|-81.2|-60.8|-67.7|-99.1|-98.7|-117.3|-83.9|-80.8|64.1|109.1|113.6
NESCO.NS,1231.0,-64.39,1255.55,906.99,1189.9,1224.5,35.72,3.45,0.53,False,True,True,91.6|101.7|148.3|176.7|157.0|152.1|150.2|91.1|19.8|21.4|21.9|-0.3|-15.1|34.2|15.9|15.0|-23.3|33.4|-7.9|-64.4
JAIBALAJI.NS,73.15,-105.03,79.26,53.65,70.05,71.5,36.35,4.43,2.31,False,True,True,107.9|88.9|118.7|111.2|117.5|108.5|93.4|106.1|81.4|81.9|79.0|-16.1|-23.8|-36.6|-94.2|-126.3|-157.8|-141.5|-108.2|-105.0
JSWSTEEL.NS,1308.9,187.49,1278.4,959.57,1245.8,1272.8,36.41,5.07,2.84,False,False,True,60.7|57.1|62.4|24.5|49.4|82.1|63.9|30.2|-26.3|31.8|163.8|118.7|77.0|104.0|27.7|51.1|59.5|94.3|105.3|187.5
PAYTM.NS,1127.6,11.69,1132.2,826.0,1075.1,1094.1,36.51,4.88,3.06,False,True,True,-20.0|-28.8|-12.2|-64.6|-53.2|127.4|154.1|120.0|59.8|-9.8|-20.9|-17.4|-73.7|-23.3|8.4|60.2|-13.8|-72.8|-26.9|11.7
CUB.NS,253.0,-28.42,256.74,185.3,242.35,246.85,36.53,4.39,2.49,False,True,True,85.4|65.3|73.7|43.7|83.8|50.0|-23.9|-108.5|-163.6|-168.9|-154.0|-122.9|-111.9|-88.1|-78.6|-64.1|-60.8|-52.8|-30.6|-28.4
RPOWER.NS,27.59,-31.71,27.76,20.17,25.93,26.26,36.79,6.4,5.06,False,False,False,44.5|37.5|36.4|29.9|38.3|48.9|15.9|-101.2|-190.0|-190.9|-145.6|-150.6|-197.1|-124.0|-106.1|-67.8|-94.0|-86.0|-81.7|-31.7
EXIDEIND.NS,393.55,243.32,354.02,287.0,333.5,338.1,37.13,18.01,16.4,False,False,False,115.9|107.7|107.8|96.7|47.5|62.1|83.9|36.9|-9.6|-2.5|-11.8|-27.8|-124.9|-95.6|-129.3|-103.0|-120.5|-65.8|70.8|243.3
NIACL.NS,160.62,-76.46,163.44,116.97,154.0,160.25,37.32,4.3,0.23,False,True,True,30.1|26.9|25.7|26.1|31.0|33.3|9.9|-54.3|-88.9|9.1|77.5|90.5|-93.0|57.2|-31.6|113.8|58.6|113.1|28.4|-76.5
BAJAJ-AUTO.NS,10807.5,118.63,10392.92,7858.5,9355.0,10431.0,37.53,15.53,3.61,False,False,True,69.8|116.4|179.5|129.8|191.9|235.9|211.5|151.4|109.1|65.4|75.1|67.3|29.4|23.7|44.9|100.3|92.5|75.3|70.0|118.6
SFL.NS,628.4,103.91,574.31,456.8,505.2,578.8,37.57,24.39,8.57,False,False,False,-55.6|-70.9|-42.8|-22.5|40.6|154.0|184.6|145.0|80.2|13.0|-2.1|224.1|132.0|105.7|79.7|90.1|152.5|149.9|118.1|103.9
SDBL.NS,85.25,-62.02,87.47,61.8,83.42,84.11,37.94,2.19,1.36,False,True,True,44.0|35.6|27.9|14.5|10.3|132.6|157.4|68.6|-40.3|-30.5|-38.8|-36.3|-113.7|-107.9|-95.9|-77.8|-96.2|-37.3|-40.3|-62.0
HONAUT.NS,36170.0,162.8,31179.75,26220.0,28000.0,31385.0,37.95,29.18,15.25,False,False,False,46.8|32.7|29.2|14.3|-11.5|-14.5|-39.5|-105.9|-171.9|-188.4|-152.4|-110.8|-116.3|-83.8|-39.7|193.5|238.6|170.1|169.7|162.8
JINDALSTEL.NS,1217.5,-28.23,1232.72,880.9,1192.3,1192.3,38.21,2.11,2.11,False,True,True,-7.7|-9.7|47.9|58.7|51.2|45.3|-9.8|-50.3|-115.8|-60.0|-25.2|-62.1|-99.7|-84.4|-97.7|-129.0|-137.4|-90.3|-71.4|-28.2
TTML.NS,43.19,51.78,42.69,31.22,40.87,42.05,38.34,5.68,2.71,False,False,True,22.0|11.4|10.6|-9.0|-11.7|63.2|21.0|-62.8|-170.3|-157.4|-96.0|-90.5|-126.6|-80.3|-87.4|-49.4|-54.8|-3.0|50.7|51.8
JBCHEPHARM.NS,2196.9,82.11,2143.12,1586.72,2028.7,2154.5,38.45,8.29,1.97,False,False,True,130.7|114.9|172.8|166.0|201.8|172.7|162.9|175.3|114.3|56.8|70.6|79.6|45.8|84.8|89.7|100.6|119.9|174.3|110.2|82.1
FORTIS.NS,966.35,41.01,957.54,697.87,910.55,949.2,38.47,6.13,1.81,False,False,True,66.7|60.9|90.6|83.7|90.0|84.8|87.1|113.0|89.3|76.7|101.2|98.7|55.3|80.0|96.0|129.5|45.6|105.1|57.2|41.0
ELGIEQUIP.NS,565.95,110.92,548.46,408.25,508.0,557.2,38.63,11.41,1.57,False,False,True,69.6|59.2|55.1|30.0|21.2|76.2|100.2|-29.6|-202.0|-250.0|-217.3|-141.1|-124.6|-44.7|55.1|115.6|80.0|100.7|82.8|110.9
AMBER.NS,7498.0,-66.91,7942.75,5400.5,6938.0,7120.0,38.84,8.07,5.31,False,False,False,67.3|66.7|60.8|78.8|144.3|202.1|187.9|128.3|47.6|44.5|17.5|54.3|-183.0|-221.1|-197.3|-113.4|-102.9|-88.6|-89.6|-66.9
IL&FSTRANS.NS,2.43,3.04,2.37,1.75,2.22,2.26,38.86,9.46,7.52,False,False,False,39.2|16.8|9.8|-6.3|-1.6|32.2|98.9|80.9|-3.4|-107.4|-143.2|-90.6|-78.8|-109.6|-57.3|8.8|-35.2|-64.6|-46.6|3.0
NIITLTD.NS,68.29,-6.44,68.33,49.0,61.2,64.25,39.37,11.58,6.29,False,False,False,39.9|39.2|43.7|58.9|97.8|145.7|149.6|57.6|-104.3|-158.1|-240.7|-218.8|-224.0|-153.7|-112.3|-78.1|-62.0|-6.2|-4.8|-6.4
JSWENERGY.NS,596.8,156.65,550.1,427.75,505.2,543.05,39.52,18.13,9.9,False,False,False,70.3|70.8|63.8|67.9|71.5|89.1|75.7|24.9|-167.3|-204.9|-186.2|-154.1|-109.0|-60.3|-52.8|-2.0|4.4|27.2|80.5|156.6
MINDACORP.NS,619.3,237.96,536.42,443.78,502.0,515.5,39.55,23.37,20.14,False,False,False,4.5|-18.7|-14.6|-26.5|7.2|71.2|89.0|48.1|-68.6|-100.0|-133.9|-49.3|-53.0|-41.8|-55.9|98.8|319.1|324.9|255.8|238.0
INDUSTOWER.NS,436.65,93.29,418.88,312.55,390.8,429.3,39.71,11.73,1.71,False,False,True,-58.8|-55.9|-99.0|-90.9|-45.7|-68.3|-81.5|-32.1|-64.0|28.8|196.1|252.9|207.6|192.3|123.9|141.0|115.1|125.5|101.8|93.3
ALKYLAMINE.NS,1695.1,31.87,1679.52,1212.0,1507.1,1692.0,39.86,12.47,0.18,False,False,True,91.5|79.0|123.1|93.6|208.0|217.6|174.1|115.6|56.2|68.0|157.6|114.1|69.9|110.5|111.2|87.8|59.2|75.4|50.4|31.9
HGINFRA.NS,602.1,-30.38,609.26,429.5,572.5,572.5,40.19,5.17,5.17,False,False,False,29.4|24.5|22.8|34.2|63.2|77.4|80.8|65.3|152.3|38.8|-12.4|-42.1|-113.6|-78.1|-104.6|-84.2|-54.9|-36.9|-57.1|-30.4
HMT.NS,57.49,-69.39,58.81,41.0,55.0,55.5,40.22,4.53,3.59,False,True,True,-42.3|-126.5|-51.7|-61.9|-127.0|-92.7|-79.7|-182.9|-213.2|-212.7|-197.4|-172.6|-147.3|-105.4|-110.6|-78.7|-80.4|-77.9|-70.2|-69.4
